,SHIP,FLAG,SUNK DATE,VESSEL TYPE,ZONA1,ZONA2,ZONA3,ZONA4,COORDINATES,NOTES,IMAGE
325,The Porter,,,,Great Lakes,Lake Ontario,,,,Inside Little Sodus Bay along the break wall separating the lake from the bay on the east side of the channel,
326,Congercoal,,,,Great Lakes,Lake Ontario,,,,Inside Little Sodus Bay along Fair Haven Beach State Park's western shoreline. Just off the parking lot and South of the boat launch,
327,David W. Mills,,,,Great Lakes,Lake Ontario,,,,Just off the Northeast corner of Ford Shoal by the green marker buoy,
328,Mary Kay,,,,Great Lakes,Lake Ontario,,,,In 54' of water just Northeast of Snake Creek,
329,Cormorant,,,,Great Lakes,Lake Ontario,,,,Northwest of the Mary Kay and Northeast of the David Mills in 165' of water,
330,Robert Bruce,,,,Great Lakes,Lake Ontario,,,,Near North Sandy Pond,
331,Cortez,,,,Great Lakes,Lake Ontario,,,,Directly off of Southwick Beach State Park,
332,Hartford,,,,Great Lakes,Lake Ontario,,,,"Near North Sandy Pond, part of the ship has also washed ashore on the North Sandy Pond Barrier Bar",
333,Ariadne,,,,Great Lakes,Lake Ontario,,,,North of North Sandy Pond in shallow water are the remains of the Ariadne,
334,William Elgin Schooner,,,,Great Lakes,Lake Ontario,,,,,
335,The T. J. Waffle Steamer,,,,Great Lakes,Lake Ontario,,,,"27 Miles off Oswego, NY",
336,Dagger-board Schooner,,,,Great Lakes,Lake Ontario,,,,Near Galloo Island,
337,Steamer City of New York,,,,Great Lakes,Lake Ontario,,,,"Off the coast of Oswego, NY",
338,Onandaga Schooner,,,,Great Lakes,Lake Ontario,,,,"Off Stony Point, NY",
339,Steamer Wisconsin,,,,Great Lakes,Lake Ontario,,,,Off Tibbetts Point Lighthouse,
340,Hiawatha Schooner Barge,,,,Great Lakes,Lake Ontario,,,,"in 95' of water, discovered Sept. 2017 by Tim Caza",
341,H. B. Schooner-barge,,,,Great Lakes,Lake Ontario,,,,Eastern Lake Ontario 20 miles off the Oswego shoreline,
342,Menominee,,,,Great Lakes,Lake Ontario,,,,Northeastern Lake Ontario off Galloo Island,
343,Old Steamer,,,,Great Lakes,Lake Ontario,,,,Eastern Lake Ontario in 90 feet of water,
344,North Star Schooner,,,,Great Lakes,Lake Ontario,,,,South of Stony Island in 100' of water,
345,American Schooner,,,,Great Lakes,Lake Ontario,,,,Off Stony Point in 100+' of water,
346,J.W. Langmuir,,,,Great Lakes,Lake Ontario,,,,on the shoal at the head of Galloo island,
347,S.S. Ellsworth,,,,Great Lakes,Lake Ontario,,,,In 21' of water off Stony Island,
348,House Boat,,,,Great Lakes,Lake Ontario,,,,Located in Chaumont Bay,
349,Alberta,,,,Great Lakes,Lake Ontario,,,,"A Lake tug with the appearance of an Alligator Tug from the Ottawa River logging days, sank near Bay of Quinte.",
350,Aloha,,1917,,Great Lakes,Lake Ontario,,,,Sunk while in tow of the CW Chamberlain off Nine Mile Point,
351,Annie Falconer,,1904,,Great Lakes,Lake Ontario,,,,A schooner that sank in a storm en route to Picton. One crew member perished of exposure upon reaching Amherst Island.,
352,Augustus,,,,Great Lakes,Lake Ontario,,,,A schooner that sank en route to be scuttled during the 1937 Portsmouth harbour cleanup.,
353,Bay State,,4 November 1862,,Great Lakes,Lake Ontario,,,,"Screw propeller, sank in storm. Wreck discovered August 2015",
354,Belle Sheridan,,7 November 1880,,Great Lakes,Lake Ontario,,,,"A 123-foot two masted schooner.  She was carrying coal en route to Toronto when caught in the Gale of 1880 and after fighting for hours, sank in 12 feet of water in Wellers Bay.  Only one of the crew of seven survived.",
355,China,,1872,,Great Lakes,Lake Ontario,,,,"A small steamer that caught fire and sank off False Duck Island, six months after launching.",
356,City of Sheboygan,,1925,,Great Lakes,Lake Ontario,,,,Sank in a storm off Amherst Island with the loss of 5 people.,
357,Comet,,1861,,Great Lakes,Lake Ontario,,,,"A paddlewheeler that sunk in a collision with the schooner Exchange off Nine Mile Point, with the loss of 2 lives.",
358,Cornwall,,1931,,Great Lakes,Lake Ontario,,,,A paddlewheeler scuttled in the Amherst Island graveyard.,
359,Dominion,,,,Great Lakes,Lake Ontario,,,,,
360,Dredge Islander,,,,Great Lakes,Lake Ontario,,,,A dredge scuttled in the Snake Island graveyard after harbour cleanup in the 1930s.,
361,Dupont Salvage Scow,,,,Great Lakes,Lake Ontario,,,,"Scuttled near Dupont Point, perhaps after the Elevator Bay cleanup.",
362,Effie Mae,,1993,,Great Lakes,Lake Ontario,,,,A charter boat that was scuttled beside the Aloha for a diving attraction,
363,Empress,,,,Great Lakes,Lake Ontario,,,,A steamer scuttled in the Amherst Island Graveyard. Real name unknown.,
364,Frontenac,,,,Great Lakes,Lake Ontario,,,,Tug.,
365,George A. Marsh,,17 August 1917,,Great Lakes,Lake Ontario,,,,A schooner that was sunk during a heavy gale off Pigeon Island. Twelve of fourteen crew and passengers died.,
366,George T Davie,,,,Great Lakes,Lake Ontario,,,,Barge.,
367,Glendora,,,,Great Lakes,Lake Ontario,,,,A steamer that was scuttled in the Amherst Island Graveyard. Real name unknown.,
368,USS Hamilton,,8 August 1813,,Great Lakes,Lake Ontario,,,,"A US Navy schooner that sunk in a squall off Fourteen Mile Creek, Oakville. A US sister ship the Scourge sank in the same squall.",
369,Hilda,,,,Great Lakes,Lake Ontario,,,,Wrecker.,
370,Katie Eccles,,,,Great Lakes,Lake Ontario,,,,Ran aground near Kingston on Lake Ontario.,
371,KPH Wreck,,,,Great Lakes,Lake Ontario,,,,A flat barge 30 m (100 ft) long that sank near Kingston Psychiatric Hospital.,
372,Londonderry,,,,Great Lakes,Lake Ontario,,,,Wrecker.,
373,Maple Glen,,,,Great Lakes,Lake Ontario,,,,Steamer.,
374,Marine Museum 2,,,,Great Lakes,Lake Ontario,,,,Scow.,
375,Mark One,,,,Great Lakes,Lake Ontario,,,,Tug.,
376,Monkey Wrench,,,,Great Lakes,Lake Ontario,,,,A schooner that was scuttled in the Amherst Island Graveyard. Real name unknown.,
377,Munson,,30 April 1890,,Great Lakes,Lake Ontario,,,,"A dredger that sank in 4 minutes due to leaking plank, off Lemoine Point.",
378,Nisbet Grammer,,26 May 1926,,Great Lakes,Lake Ontario,,,,A lake freighter that sank in a collision with the Dalwarnic off Somerset.,
379,SS Noronic,,17 September 1949,,Great Lakes,Lake Ontario,,,,"A Great Lakes cruise ship that burned and sank at Toronto dock, with over 100 passengers killed.",
380,Ocean Wave,,1853,,Great Lakes,Lake Ontario,,,,Paddlewheeler.,
381,Olive Branch,,,,Great Lakes,Lake Ontario,,,,Schooner.,
382,Oliver Mowat,,,,Great Lakes,Lake Ontario,,,,Schooner.,
383,HMS Ontario,,31 October 1780,,Great Lakes,Lake Ontario,,,,"A British 22-gun brig-sloop sunk in a storm on Lake Ontario, discovered in 2008.  The oldest shipwreck ever found on the Great Lakes.",
384,St. Peter,,27 October 1898,,Great Lakes,Lake Ontario,,, 43.31167; -77.13111﻿ ,A schooner that was wrecked near Pultneyville.,
385,Queen Mary,,,,Great Lakes,Lake Ontario,,,,A steamer that was scuttled in the Amherst Island Graveyard. Real name unknown.,
386,R.H. Rae,,,,Great Lakes,Lake Ontario,,,,Schooner.,
387,Ricky's Tug,,,,Great Lakes,Lake Ontario,,,,Scuttled in the Amherst Island Graveyard. Real name unknown.,
388,Ridgetown,,1974,,Great Lakes,Lake Ontario,,,,The retired lake freghiter was sunk as a break water off Mississauga Ontario,
389,HMS St Lawrence,,,,Great Lakes,Lake Ontario,,, 44.22056; -76.50500﻿ ,"A wooden warship that served in the War of 1812. The ship was decommissioned and her hull was used as a storage facility by Morton's Brewery in Kingston. In January 1832, the hull was sold to Robert Drummond for £25. Later, it was sunk close to shore, and is now a popular diving attraction.",
390,S.M. Douglas,,,,Great Lakes,Lake Ontario,,,,A former White Star dredger.,
391,HMS Speedy,,8 October 1804,,Great Lakes,Lake Ontario,,, 43.814; -76.789﻿ ,"A schooner that sank off Brighton, Lake Ontario.",
392,USS Sylph,,1823,,Great Lakes,Lake Ontario,,,,A schooner that served in the War of 1812.,
393,Terry's Tug,,,,Great Lakes,Lake Ontario,,,,Tug.,
394,HMS Toronto,,1811,,Great Lakes,Lake Ontario,,,,"A schooner that sank off Hanlan's Point, Toronto Islands, Lake Ontario.",
395,Unknown,,,,Great Lakes,Lake Ontario,,, 43.450; -77.433,,
396,Washington,,1803,,Great Lakes,Lake Ontario,,,,"Commercial sloop owned by Canadians, built by Americans on Lake Erie, sunk off Oswego.",
397,Waterlily,,,,Great Lakes,Lake Ontario,,,,Steam barge.,
398,William Jamieson,,,,Great Lakes,Lake Ontario,,,,Schooner.,
399,William Johnston,,,,Great Lakes,Lake Ontario,,, 44.117; -76.550﻿ ,A tug that sank off 9-Mile Point.,
400,HMS Wolfe (later HMS Montreal),,,,Great Lakes,Lake Ontario,,, 44.217; -76.450﻿ ,"A freshwater sloop of war that served in the War of 1812. She was ordered broken up and sold in 1831, and is presumed to have rotted and sunk at Kingston. The wreck, identified as HMS Montreal by Parks Canada in 2006, lies near the Royal Military College of Canada.",
401,Wolfe Islander II,,21 September 1985,,Great Lakes,Lake Ontario,,,,"Car ferry scuttled to provide scuba attraction off Dawson's Point, Wolfe Island",
402,SS Edmund Fitzgerald,,10 November 1975,Bulk carrier,Great Lakes,Largest wrecks,,, 46.99850; -85.11017﻿ ,The Edmund Fitzgerald was 729-foot long freighter that sank of an unknown cause in a storm on Lake Superior. The Fitzgerald is the largest ship to sink on the lakes.,
403,SS Carl D. Bradley,,18 November 1958,Self-unloading Bulk carrier,Great Lakes,Largest wrecks,,,,The Carl D. Bradley was a Great Lakes freighter that had a 31-year career that suddenly ended in 1958 when she broke in two in a severe November storm on Lake Michigan.,
404,SS Daniel J. Morrell,,29 November 1966,Lake freighter,Great Lakes,Largest wrecks,,, 43.850; -82.590﻿ ,"The Daniel J. Morrell was a Great Lakes bulk carrier that sank with only one survivor; 26-year old watchman Dennis Hale of Ashtabula, Ohio.",
405,SS William C Moreland,,18 October 1910,Lake freighter,Great Lakes,Largest wrecks,,,,"The William C. Moreland was a Great Lakes bulk carrier that ran aground due to poor visibility on Sawtooth Reef, Lake Superior.",
406,SS Cedarville,,7 May 1965,Self-unloading Bulk carrier,Great Lakes,Largest wrecks,,, 45.78556; -84.66889﻿ ,The Cedarville was a self-unloading freighter that sank in the Straits of Mackinac after being rammed by the M/V Topdalsfjord. Ten of the crew drowned when the ship sank.,
407,SS Chester A. Congdon,,6 November 1918,Lake freighter,Great Lakes,Largest wrecks,,, 48.19333; -88.51444﻿ ,"The Chester A. Congdon was a steel-hulled bulk carrier that stranded in heavy fog on Canoe Rocks, near Isle Royale.",
408,SS D.R. Hanna,,16 May 1919,Lake freighter,Great Lakes,Largest wrecks,,,,"The D.R. Hanna was a steel-hulled freighter that sank on 16 May 1919 in a collision with the Quincy A. Shaw north of Thunder Bay Island, Lake Huron.",
409,SS James C. Carruthers,,9 November 1913,Lake freighter,Great Lakes,Largest wrecks,,, 44.801; -82.397﻿ ,The James C. Carruthers was a 550-foot (170 m) long Canadian freighter that foundered in the Great Lakes Storm of 1913.,
410,SS Henry B. Smith,,10 November 1913,Lake freighter,Great Lakes,Largest wrecks,,, 46.914; -87.333﻿ ,"The Henry B. Smith was an American bulk freighter that foundered in the Great Lakes Storm of 1913 near Marquette, Michigan. Her wreck was discovered in 2013 by a team of divers led by Jerry Eliason.",
411,SS Emperor,,4 June 1947,Lake freighter,Great Lakes,Largest wrecks,,, 48.20056; -88.49167﻿ ,The Emperor was a Canadian freighter owned by Canada Steamship Lines Ltd. that sank after striking the north side of Canoe Rocks near Isle Royale.,
412,SS Isaac M. Scott,,11 November 1913,Lake freighter,Great Lakes,Largest wrecks,,, 45.050; -83.033﻿ ,"The Isaac M. Scott was an American bulk carrier that sank on Lake Huron in the Great Lakes Storm of 1913. She was discovered in 1976, laying upside down, and half buried in mud under 180-feet (55m) of water.",
413,SS Charles S. Price,,9 November 1913,Lake freighter,Great Lakes,Largest wrecks,,,,The Charles S. Price capsized on Lake Huron in the Great Lakes Storm of 1913. She was discovered floating upside down near Port Huron.,
0,USCS Belle,,1857,,Florida,Bay County,,,,A schooner that ran aground off St. Andrews Bay.,
1,SS Tarpon,,30 August 1937,,Florida,Bay County,,, 30.0950333; -85.942583﻿ ,A steamship that foundered off Panama City.,
2,Vamar,,19 March 1942,,Florida,Bay County,,, 29.89889; -85.46333﻿ ,An English ship that sank near Mexico Beach.,//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Mexico_Beach_GoM_Vamar01.jpg/250px-Mexico_Beach_GoM_Vamar01.jpg
3,Cities Services Empire,,22 February 1942,,Florida,Brevard County,,,,A tanker that was torpedoed by U-128 off Cape Canaveral in 240 fsw.,
4,SS Ocean Venus,,3 May 1942,,Florida,Brevard County,,, 28.383; -80.350,"An Ocean ship that was torpedoed by U-564 12 nautical miles (22 km) East south east of Cape Canaveral, Florida",
5,SS Copenhagen,,1900,,Florida,Broward County,,, 26.20556; -80.0851278﻿ ,A steamship that crashed into a reef at Pompano Beach.,
6,MV Mercedes I,,30 March 1985,,Florida,Broward County,,,,A merchant vessel that was scuttled as an artificial reef off Fort Lauderdale.,
7,USS Annie,,30 December 1864,,Florida,Charlotte County,,,,A schooner that sank near Charlotte Harbor.,
8,City of Hawkinsville,,1922,,Florida,Dixie County,,, 29.60722; -82.97083﻿ ,A paddle steamer that was abandoned in the Suwannee River.,
9,SS Gulfamerica,,11 April 1942,,Florida,Duval County,,, 30.233; -81.300﻿ ,A tanker torpedoed by U-123 off Jacksonville.,
10,Maple Leaf,,1 April 1864,,Florida,Duval County,,, 30.15833; -81.68667﻿ ,An American Civil War troopship that struck a naval mine near Jacksonville.,
11,USS Massachusetts (BB-2),,January 1921,,Florida,Escambia County,,, 30.29694; -87.31139﻿ ,An  Indiana-class battleship that was sunk as a target for shore batteries off Pensacola.,
12,USS Oriskany (CV-34),,17 May 2006,,Florida,Escambia County,,, 30.042500; -87.006383﻿ ,An  Essex-class aircraft carrier that was sunk as an artificial reef off Pensacola.,
13,USS Preble,,27 April 1863,,Florida,Escambia County,,,,A sloop-of-war that exploded off Pensacola.,
14,San Juan,,19 September 1559,,Florida,Escambia County,,, 30.34; -87.23﻿ ,A Spanish galleon that was sunk by a hurricane.,
15,Benjamin C. Cromwell,,1 August 1899,,Florida,Franklin County,,,,An American schooner that was wrecked and beached in a hurricane on Dog Island.,
16,Capitola,,1 August 1899,,Florida,Franklin County,,,,A steamship that was wrecked and beached in a hurricane on Dog Island.[citation needed],
17,Cortesia,,1 August 1899,,Florida,Franklin County,,,,An Italian barque that was split in half and beached in a hurricane on Dog Island.[citation needed],
18,Elsbeth,,1 August 1899,,Florida,Franklin County,,,,A Norwegian barque that was wrecked and beached in a hurricane on Dog Island.[citation needed],
19,Empire Mica,,29 June 1942,,Florida,Franklin County,,, 29.483; -85.283﻿ ,A British cargo ship torpedoed and sunk by U-67 off the coast of Apalachicola[citation needed],
20,HMS Fox (1799),,1799,,Florida,Franklin County,,,,A 14 gun schooner that was sunk off Dog Island.[citation needed],
21,Grace Andrews,,1 August 1899,,Florida,Franklin County,,,,An American schooner that was wrecked and beached in a hurricane on Dog Island.,
22,Hindoo,,1 August 1899,,Florida,Franklin County,,,,A Norwegian barque that was wrecked in a hurricane and beached on Dog Island.[citation needed],
23,Iola,,1 August 1899,,Florida,Franklin County,,,,A steamship that was wrecked and beached in a hurricane on Dog Island.[citation needed],
24,James A. Garfield,,1 August 1899,,Florida,Franklin County,,,,An American barque that was wrecked and beached in a hurricane on Dog Island.,
25,Jafnhar,,1 August 1899,,Florida,Franklin County,,,,A Norwegian barque that was wrecked in a hurricane and beached on Dog Island.,
26,Latara,,1 August 1899,,Florida,Franklin County,,,,A Russian barque that was wrecked in a hurricane and beached on Dog Island.[citation needed],
27,Le Tigre,,16 February 1766,,Florida,Franklin County,,,,A merchant vessel that was stranded on Dog Island during a hurricane.[citation needed],
28,Mary E. Morse,,1 August 1899,,Florida,Franklin County,,,,An American schooner was wrecked in a hurricane and beached on Dog Island.[citation needed],
29,Ranavola,,1 August 1899,,Florida,Franklin County,,,,A Norwegian barque that was destroyed in a hurricane at Dog Island.[citation needed],
30,Vale,,1 August 1899,,Florida,Franklin County,,,,A Norwegian barque that was wrecked and beached in a hurricane on Dog Island.[citation needed],
31,Warren Adams,,1 August 1899,,Florida,Franklin County,,,,An American schooner that was wrecked and beached in a hurricane on Dog Island.[citation needed],
32,Vidette,,1 August 1899,,Florida,Franklin County,,,,An American brigantine that was wrecked and beached in a hurricane on Dog Island.,
33,USS Narcissus (1863),,4 January 1866,,Florida,Hillsborough County,,,,A steamboat that sank off Egmont Key.,
34,SS Breconshire (1883),,"April 29, 1894",,Florida,Indian River County,,, 27.6524611; -80.350972﻿ ,A British steamship en route from New York City to Tampa that ran aground and sank 400 yards off Vero Beach in 15 to 20 feet of water.,
35,Bessie Whiting,,"January 11, 1918",,Florida,Manatee County,,,,A schooner that ran aground off Perico Island.,
36,Doc's Barge,,Unknown,,Florida,Manatee County,,,,A barge that sunk in 65 feet of water roughly 18 miles from Longboat Pass. Little to nothing is known about the vessel.,
37,Fin Barge,,Unknown,,Florida,Manatee County,,,,"Little to nothing is known about the vessel. It sank in 85 feet of water, 25 miles from shore",
38,Nohab (Lensahn III),,1934,,Florida,Manatee County,,, 27.44583; -82.99972﻿ ,"The former steam yacht of Friedrich Augustus II, Grand Duke of Oldenburg (1852-1931). In September 1926, while in Biscayne Bay, the ship was damaged by a hurricane and five of the seven crew died, including the captain. She was towed to the Port of Miami by tugs. In 1928, she was moved to Tampa Bay but she was not repaired and she sank in 1934. Her hulk was towed 15 nautical miles out to sea and abandoned to sink. The location of her wreck was forgotten and only rediscovered in 2007.",
39,SS Regina,,1940,,Florida,Manatee County,,, 27.46889; -82.70194﻿ ,A tanker that sank near Bradenton Beach.,
40,Georges Valentine,,16 October 1904,,Florida,Martin County,,, 27.198833; -80.163833﻿ ,A barquentine that sank in a storm off Hutchinson Island.,
41,USS Muliphen (AKA-61),,21 January 1989,,Florida,Martin County,,, 27.405517; -80.005617﻿ ,An  Andromeda-class attack cargo ship that was sunk as an artificial reef off Stuart.,
